"Date","Price","Open","High","Low","Change %"
"Aug 11, 2009","14.0343","14.2059","14.2186","14.0026","-1.20%"
"Aug 10, 2009","14.2048","14.2974","14.3081","14.1751","-0.54%"
"Aug 07, 2009","14.2817","13.9635","14.3154","13.9081","2.21%"
"Aug 06, 2009","13.9725","13.8940","14.0252","13.8721","0.55%"
"Aug 05, 2009","13.8957","13.9443","13.9652","13.8501","-0.36%"
"Aug 04, 2009","13.9463","13.9343","13.9784","13.8083","-0.02%"
"Aug 03, 2009","13.9494","13.8623","13.9715","13.8420","0.66%"
"Jul 31, 2009","13.8582","13.9848","14.0339","13.8272","-0.89%"
"Jul 30, 2009","13.9822","13.9162","14.0349","13.8696","0.50%"
"Jul 29, 2009","13.9128","13.8250","13.9611","13.7556","0.56%"
"Jul 28, 2009","13.8347","13.9329","13.9499","13.7635","-0.73%"
"Jul 27, 2009","13.9360","13.8652","13.9652","13.8564","0.43%"
"Jul 24, 2009","13.8764","13.9114","13.9343","13.8386","-0.16%"
"Jul 23, 2009","13.8992","13.6980","13.9519","13.6893","1.43%"
"Jul 22, 2009","13.7028","13.7046","13.7468","13.6249","-0.09%"
"Jul 21, 2009","13.7154","13.7939","13.8194","13.6519","-0.58%"
"Jul 20, 2009","13.7949","13.8000","13.8789","13.7748","0.05%"
"Jul 17, 2009","13.7878","13.7261","13.8170","13.6773","0.39%"
"Jul 16, 2009","13.7341","13.7910","13.8259","13.6500","-0.45%"
"Jul 15, 2009","13.7959","13.6968","13.8296","13.6427","0.71%"
"Jul 14, 2009","13.6986","13.6062","13.7233","13.5651","0.66%"
"Jul 13, 2009","13.6094","13.5228","13.6182","13.4233","0.53%"
"Jul 10, 2009","13.5378","13.6038","13.6424","13.4277","-0.49%"
"Jul 09, 2009","13.6041","13.5645","13.6965","13.5147","0.12%"
"Jul 08, 2009","13.5874","13.8741","13.8867","13.4313","-2.14%"
"Jul 07, 2009","13.8846","13.9511","13.9677","13.8565","-0.49%"
"Jul 06, 2009","13.9529","13.9511","13.9559","13.9481","-0.74%"
"Jul 03, 2009","14.0564","14.0438","14.0724","14.0012","0.15%"
"Jul 02, 2009","14.0353","14.1359","14.1846","14.0072","-0.69%"
"Jul 01, 2009","14.1335","14.1038","14.1989","14.0745","0.24%"
"Jun 30, 2009","14.1000","14.0643","14.1308","13.9472","0.26%"
"Jun 29, 2009","14.0631","13.9347","14.0747","13.9201","0.89%"
"Jun 26, 2009","13.9387","14.0426","14.0568","13.9040","-0.69%"
"Jun 25, 2009","14.0358","14.0041","14.1326","13.9880","0.17%"
"Jun 24, 2009","14.0116","13.9285","14.0555","13.9007","0.58%"
"Jun 23, 2009","13.9303","14.0295","14.0343","13.8788","-0.77%"
"Jun 22, 2009","14.0384","14.0728","14.0905","13.9974","-0.31%"
"Jun 19, 2009","14.0822","14.1302","14.2149","14.0377","-0.37%"
"Jun 18, 2009","14.1352","13.9861","14.1498","13.9832","0.96%"
"Jun 17, 2009","14.0004","14.1026","14.1610","13.9656","-0.73%"
"Jun 16, 2009","14.1038","14.3143","14.3184","14.0512","-1.43%"
"Jun 15, 2009","14.3089","14.3925","14.4193","14.2705","-0.61%"
"Jun 12, 2009","14.3965","14.2792","14.4038","14.2500","0.87%"
"Jun 11, 2009","14.2726","14.3748","14.4189","14.2237","-0.76%"
"Jun 10, 2009","14.3812","14.2491","14.4060","14.1994","0.92%"
"Jun 09, 2009","14.2508","14.3985","14.4163","14.2243","-1.03%"
"Jun 08, 2009","14.3989","14.4222","14.4695","14.3593","-0.27%"
"Jun 05, 2009","14.4386","14.1346","14.4737","14.1277","2.16%"
"Jun 04, 2009","14.1336","14.0341","14.1922","14.0312","0.62%"
"Jun 03, 2009","14.0466","14.0009","14.1172","13.9584","0.25%"
"Jun 02, 2009","14.0116","14.1382","14.1593","13.9511","-0.95%"
"Jun 01, 2009","14.1460","13.9573","14.1812","13.8310","1.34%"
"May 29, 2009","13.9596","14.1930","14.2116","13.9119","-1.68%"
"May 28, 2009","14.1976","13.9543","14.2401","13.9426","1.75%"
"May 27, 2009","13.9538","13.8943","13.9829","13.8565","0.35%"
"May 26, 2009","13.9050","13.8978","13.9334","13.8331","0.04%"
"May 25, 2009","13.8997","13.8898","13.9531","13.8339","0.06%"
"May 22, 2009","13.8909","13.8260","13.9113","13.7506","0.37%"
"May 21, 2009","13.8395","13.8926","13.9626","13.7660","-0.45%"
"May 20, 2009","13.9026","14.0638","14.1001","13.8692","-1.19%"
"May 19, 2009","14.0706","14.0924","14.1683","14.0492","-0.18%"
"May 18, 2009","14.0964","13.9164","14.1301","13.8442","1.05%"
