"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 12","8,210.99","9,047.59","9,344.09","8,132.36","12.54B","-9.36%"
"Jul 12","9,059.22","9,575.09","9,853.73","9,033.92","13.71B","-4.64%"
"Jun 12","9,500.32","10,142.12","10,262.05","9,351.80","10.95B","-6.32%"
"May 12","10,141.41","10,319.48","10,616.28","9,755.59","16.74B","-0.38%"
"Apr 12","10,180.39","9,410.97","10,258.57","9,388.78","12.68B","8.18%"
"Mar 12","9,410.26","10,011.12","10,529.00","9,352.17","16.84B","-6.41%"
"Feb 12","10,054.84","9,277.79","10,333.92","9,173.07","16.56B","8.07%"
"Jan 12","9,303.65","8,980.76","9,503.37","8,486.58","10.93B","4.31%"
"Dec 11","8,918.82","9,976.52","10,102.35","8,555.12","10.53B","-7.99%"
"Nov 11","9,693.39","10,389.02","10,791.39","9,626.76","13.20B","-7.51%"
"Oct 11","10,480.91","10,315.96","10,637.10","9,653.51","10.25B","1.83%"
"Sep 11","10,292.33","11,425.11","11,491.35","10,224.73","9.17B","-9.70%"
"Aug 11","11,397.48","11,975.27","12,074.94","10,926.47","13.66B","-4.95%"
"Jul 11","11,990.43","12,148.97","12,548.98","11,885.90","16.15B","-0.99%"
"Jun 11","12,110.93","11,648.86","12,157.56","11,288.62","12.08B","3.82%"
"May 11","11,665.14","12,314.69","12,423.46","11,405.06","11.89B","-5.26%"
"Apr 11","12,312.99","12,559.77","13,142.43","12,138.85","22.34B","-1.99%"
"Mar 11","12,562.90","12,911.07","13,233.02","12,447.70","22.91B","-2.63%"
"Feb 11","12,902.43","12,044.41","12,936.74","11,764.23","14.67B","7.57%"
"Jan 11","11,994.68","12,578.45","12,790.93","11,377.34","15.46B","-3.72%"
"Dec 10","12,458.55","12,301.24","12,987.70","11,963.72","20.09B","0.99%"
"Nov 10","12,336.29","13,385.25","13,936.88","11,849.90","29.83B","-7.71%"
"Oct 10","13,367.24","11,594.92","13,863.98","11,578.12","30.81B","16.56%"
"Sep 10","11,468.54","11,369.39","11,759.01","11,060.66","17.85B","1.15%"
"Aug 10","11,338.71","10,789.07","11,424.08","10,613.28","18.85B","5.13%"
"Jul 10","10,785.35","9,376.08","10,899.43","8,945.20","14.99B","14.90%"
"Jun 10","9,386.94","10,123.67","10,407.38","9,335.57","10.10B","-8.01%"
"May 10","10,204.17","10,959.16","11,139.16","9,627.42","14.49B","-8.59%"
"Apr 10","11,162.54","12,512.41","12,849.71","10,974.15","17.89B","-10.66%"
"Mar 10","12,494.35","12,480.81","12,720.36","11,835.62","13.15B","0.46%"
"Feb 10","12,436.66","12,125.51","12,527.02","11,714.16","8.76B","2.47%"
"Jan 10","12,137.20","13,766.10","13,782.81","11,903.99","18.73B","-11.41%"
"Dec 09","13,699.97","13,474.86","14,096.87","12,635.68","20.02B","1.58%"
"Nov 09","13,486.77","12,016.61","14,032.60","11,957.58","24.17B","9.67%"
"Oct 09","12,297.16","11,499.70","12,941.38","11,452.33","14.83B","9.73%"
"Sep 09","11,206.85","10,463.04","12,530.07","10,387.42","22.18B","5.87%"
"Aug 09","10,585.08","13,735.08","13,943.44","10,561.74","25.76B","-22.57%"
"Jul 09","13,670.72","11,529.54","13,881.14","11,504.75","32.96B","18.19%"
"Jun 09","11,566.61","10,267.74","11,672.70","10,267.74","26.53B","14.21%"
"May 09","10,127.92","9,567.63","10,497.17","9,562.95","22.35B","6.58%"
"Apr 09","9,502.52","9,032.40","9,793.64","8,816.08","28.74B","5.80%"
"Mar 09","8,981.95","7,511.66","9,115.04","7,495.82","27.83B","18.06%"
"Feb 09","7,608.22","7,073.87","8,820.67","6,995.84","33.59B","8.45%"
"Jan 09","7,015.24","6,557.42","7,103.83","6,514.49","13.80B","8.17%"
"Dec 08","6,485.51","6,634.60","7,585.16","6,460.70","19.25B","-2.60%"
"Nov 08","6,658.51","5,794.17","6,947.12","5,598.21","17.53B","14.03%"
"Oct 08","5,839.33","7,406.02","7,406.02","5,577.23","11.84B","-22.75%"
"Sep 08","7,559.27","7,954.01","7,954.01","6,290.01","9.91B","-5.56%"
"Aug 08","8,004.24","9,420.72","9,638.90","7,700.96","8.76B","-15.48%"
"Jul 08","9,470.33","9,397.32","10,472.61","8,922.58","13.70B","1.06%"
"Jun 08","9,370.78","11,999.95","12,160.94","8,888.78","8.56B","-22.22%"
